Perícia,Atributo,Exemplos de Usos
Acrobacia,Destreza,Manter-se em pé em uma situação complicada ou realizar uma acrobacia.
Arcanismo,Inteligência,Recordar conhecimentos sobre magias; itens mágicos e planos de existência.
Atletismo,Força,Pular mais longe do que o normal; manter-se à tona em águas agitadas ou quebrar algo.
Atuação,Carisma,Atuar; contar uma história; tocar música ou dançar.
Enganação,Carisma,Contar uma mentira convincente ou usar um disfarce de forma convincente.
Furtividade,Destreza,Evitar ser notado movendo-se silenciosamente e se escondendo atrás de objetos.
História,Inteligência,Relembrar fatos sobre eventos históricos; pessoas; nações e culturas.
Intimidação,Carisma,Atemorizar ou ameaçar alguém para que faça o que você quer.
Intuição,Sabedoria,Perceber o humor e as intenções de uma pessoa.
Investigação,Inteligência,Encontrar informações obscuras em livros ou deduzir como algo funciona.
Lidar com Animais,Sabedoria,Acalmar ou treinar um animal; ou fazer com que ele se comporte de uma determinada maneira.
Medicina,Sabedoria,Diagnosticar uma doença ou determinar o que matou uma pessoa que morreu recentemente.
Natureza,Inteligência,Relembrar fatos sobre o terreno; as plantas; os animais e o clima.
Percepção,Sabedoria,Usando uma combinação de sentidos; notar algo que é fácil de passar despercebido.
Persuasão,Carisma,Convencer alguém de algo de forma honesta e graciosa.
Prestidigitação,Destreza,Furtar um bolso; ocultar um objeto portátil ou fazer truque com as mãos.
Religião,Inteligência,Relembrar fatos sobre deuses; rituais religiosos e símbolos sagrados.
Sobrevivência,Sabedoria,Seguir rastros; procurar alimentos; encontrar uma trilha ou evitar perigos naturais.
